"Date","DailyMoveCat","CloseDiffCat","ONDiffCat","SpreadCat"
2014-02-05,"No Move","No Move","Up","Down"
2014-02-04,"Down","Down","No Move","Down"
2014-02-03,"Up Large","Up Large","Up","Up Large"
2014-01-31,"Up","Up","Up","Up"
2014-01-30,"Down","Down","Down","No Move"
2014-01-29,"Up","Up","Up","Up"
2014-01-28,"Down","Down","Down","Down"
2014-01-27,"Up","Up","No Move","No Move"
2014-01-24,"Up Large","Up Large","Down","Up"
2014-01-23,"Up","Up","Up","Up"
2014-01-22,"Up","Up","Down","Down"
2014-01-21,"Up","Up","No Move","Up"
2014-01-17,"Down","Down","Up","Down"
2014-01-16,"Up","Up","Up","Down"
2014-01-15,"Down","Down","Down","Down"
2014-01-14,"Down","Down","Down","Down"
2014-01-13,"Up","Up","Up","Up"
2014-01-10,"Up","No Move","Down","Down"
2014-01-09,"Up","Up","Down","Down"
2014-01-08,"Up","Up","Up","Down"
2014-01-07,"Down","Down","Down","Down"
2014-01-06,"Up","Up","Down","Down"
2014-01-03,"No Move","Down","Down Large","Down"
2014-01-02,"Up","Up","Up","Down"
2013-12-31,"Down","Down","Down","Down"
2013-12-30,"Down","Down","Down","Down"
2013-12-27,"No Move","No Move","Down","Down"
2013-12-26,"Down","Down","Down Large","Down"
2013-12-24,"Down","Down","Down","Down"
2013-12-23,"Down","Down","Down","Down"
2013-12-20,"Down","Down","No Move","Down"
2013-12-19,"Down","No Move","Up","Down"
2013-12-18,"Down Large","Down Large","Down","Up Large"
2013-12-17,"No Move","No Move","No Move","Down"
2013-12-16,"Down","Down","Down","No Move"
2013-12-13,"No Move","Down","Down","Down"
2013-12-12,"Up","Up","Down","Down"
2013-12-11,"Up","Up","Up","No Move"
2013-12-10,"Up","Up","Up","Down"
2013-12-09,"No Move","No Move","No Move","Down"
2013-12-06,"Down","Down","Down","Up"
2013-12-05,"Up","Up","Up","Down"
2013-12-04,"Up","Up","Up","No Move"
2013-12-03,"Up","Up","Up","Down"
2013-12-02,"Up","Up","No Move","Down"
2013-11-29,"Up","No Move","Down","Down"
2013-11-27,"Down","Down","No Move","Down"
2013-11-26,"No Move","No Move","Up","Down"
2013-11-25,"No Move","No Move","Down","Down"
2013-11-22,"Down","Down","Up","Down"
2013-11-21,"Down","Down","Down","Down"
2013-11-20,"Up","Up","Down","Down"
2013-11-19,"No Move","No Move","Up","Down"
2013-11-18,"No Move","No Move","Down","Down"
2013-11-15,"Down","Down","No Move","Down"
2013-11-14,"Down","Down","Up Large","Down"
2013-11-13,"Down","Down","Up Large","Down"
2013-11-12,"Up","Up","Up","Down"
2013-11-11,"Down","Down","Up","Down"
2013-11-08,"Down","Down","Up","Up"
2013-11-07,"Up","Up","Down","Up"
2013-11-06,"Down","Down","Down","Down"
2013-11-05,"No Move","Up","Up","Down"
2013-11-04,"Down","Down","Down","Down"
2013-11-01,"Down","Down","Down Large","Down"
2013-10-31,"Up","Up","Down","Down"
2013-10-30,"Up","Up","No Move","Down"
2013-10-29,"Down","Down","Down","Down"
2013-10-28,"No Move","No Move","Up","Down"
2013-10-25,"Down","Down","Down Large","Down"
2013-10-24,"Down","Down","Down","Down"
2013-10-23,"Up","Up","Up","Down"
2013-10-22,"Down","Down","Down","Down"
2013-10-21,"No Move","No Move","Down","Down"
2013-10-18,"Down","Down","No Move","Down"
2013-10-17,"No Move","No Move","Up","Down"
2013-10-16,"Down","Down","Down","Up"
2013-10-15,"Up","Up","Up","Down"
2013-10-14,"Down","Down","Up","No Move"
2013-10-11,"Down","Down","No Move","Down"
2013-10-10,"Down Large","Down Large","Down","Up"
2013-10-09,"Down","Down","Down","Down"
2013-10-08,"Up","Up","Down","No Move"
2013-10-07,"Up","Up","Up","Down"
2013-10-04,"Down","Down","Up","Down"
2013-10-03,"Up","Up","Up","Up"
2013-10-02,"Up","Up","Up","Down"
2013-10-01,"Down","Down","Down","Down"
2013-09-30,"Up","Up","Up","No Move"
2013-09-27,"Up","Up","Up","Down"
2013-09-26,"Down","Down","Down","Down"
2013-09-25,"Up","Up","Down","Down"
2013-09-24,"Up","Up","Down","Down"
2013-09-23,"Up","Up","Down","Down"
2013-09-20,"Up","Up","Up","Up"
2013-09-19,"Up","Up","Down","Down"
2013-09-18,"Down","Down","Down","Up"
2013-09-17,"Down","Down","Down","Down"
2013-09-16,"Down","Down","Down","No Move"
2013-09-13,"Down","Down","Down Large","Down"
2013-09-12,"Up","Up","No Move","Down"
2013-09-11,"Down","Down","Down","Down"
2013-09-10,"Down","Down","Down","Down"
2013-09-09,"Down","Down","Down","No Move"
2013-09-06,"Up","Up","Down","Up"
2013-09-05,"No Move","No Move","Up","Down"
2013-09-04,"Down","Down","Up","No Move"
2013-09-03,"Down","Down","Up","Down"
2013-08-30,"Up","Up","Down","Down"
2013-08-29,"Down","Down","Up","Down"
2013-08-28,"Down","Down","Up","Down"
2013-08-27,"Up","Up","Up","No Move"
2013-08-26,"Up","Up","Down","Down"
2013-08-23,"Down","Down","Down Extreme","Down"
2013-08-22,"Down","Down","Down","Down"
2013-08-21,"Up","Up","Up","Down"
2013-08-20,"No Move","No Move","Down","Down"
2013-08-19,"Up","Up","Up","Down"
2013-08-16,"Up","Up","No Move","Down"
2013-08-15,"Up Large","Up Large","Up","Up"
2013-08-14,"Up","Up","Up","Down"
2013-08-13,"Down","Down","Down","No Move"
2013-08-12,"No Move","No Move","Up","Down"
2013-08-09,"Up","Up","Up","No Move"
2013-08-08,"Down","Down","Down","Down"
2013-08-07,"Up","Up","Up","Down"
2013-08-06,"Up","Up","Up","Down"
2013-08-05,"Up","Up","Up","Down"
2013-08-02,"Down","Down","No Move","Down"
2013-08-01,"Down","Down","Down","Down"
2013-07-31,"Up","Up","Down","Down"
2013-07-30,"No Move","No Move","Down Large","Down"
2013-07-29,"Up","Up","Up","Down"
2013-07-26,"No Move","No Move","Up","Down"
2013-07-25,"Down","No Move","Up","Down"
2013-07-24,"Up","Up","Down","Down"
2013-07-23,"Down","Down","Down","Down"
2013-07-22,"No Move","No Move","No Move","Down"
2013-07-19,"Down","No Move","Up Extreme","Down"
2013-07-18,"Down","Down","Up","Down"
2013-07-17,"No Move","Down","Down","Down"
2013-07-16,"Up","Up","Down","Down"
2013-07-15,"Down","Down","Up","Down"
2013-07-12,"No Move","No Move","No Move","Down"
2013-07-11,"Down","Down","Down","Up"
2013-07-10,"No Move","No Move","Up","Down"
2013-07-09,"Down","Down","Down","Down"
2013-07-08,"Down","Down","Down","Down"
2013-07-05,"Down","Down","Down","No Move"
2013-07-03,"Down","Down","Up","No Move"
2013-07-02,"Up","Up","No Move","No Move"
2013-07-01,"Down","Down","Down","No Move"
2013-06-28,"Up","Up","Up","Down"
2013-06-27,"Down","Down","Down Large","Down"
2013-06-26,"Down","Down","Down","No Move"
2013-06-25,"Down","Down","Down","Down"
2013-06-24,"Up","Up","Up","Up"
2013-06-21,"Down","Down","Down","No Move"
2013-06-20,"Up Large","Up Large","Up","Up Large"
2013-06-19,"Up","Up","Up","Up"
2013-06-18,"Down","Down","Down","Down"
2013-06-17,"Down","Down","Down","Up"
2013-06-14,"Up","Up","Down","No Move"
2013-06-13,"Down","Down","Up","Up"
2013-06-12,"Up","Up","Down","Up"
2013-06-11,"Up","Up","Up","No Move"
2013-06-10,"No Move","No Move","No Move","Down"
2013-06-07,"Down","Down","Down","Up"
2013-06-06,"Down","Down","Up","Up"
2013-06-05,"Up","Up Large","Up","Up"
2013-06-04,"Up","Up","Down","Up"
2013-06-03,"Down","Down","Down","Down"
2013-05-31,"Up","Up","Up","Up"
2013-05-30,"Down","Down","Down","Down"
2013-05-29,"Up","Up","Up","No Move"
2013-05-28,"Down","Down","Down","Up"
2013-05-24,"No Move","No Move","Up","Down"
2013-05-23,"No Move","No Move","Up","No Move"
2013-05-22,"Up","Up","No Move","Up"
2013-05-21,"Down","Down","No Move","Down"
2013-05-20,"No Move","Up","Up","Down"
2013-05-17,"Down","Down","Down","Down"
2013-05-16,"Up","Up","Up","Down"
2013-05-15,"Down","Down","Up","Down"
2013-05-14,"Down","Down","No Move","Down"
2013-05-13,"Up","Up","Up","Down"
2013-05-10,"Down","Down","No Move","Down"
2013-05-09,"Up","Up","No Move","Down"
2013-05-08,"Down","Down","No Move","Down"
2013-05-07,"Down","Down","No Move","Down"
2013-05-06,"No Move","No Move","No Move","Down"
2013-05-03,"Down","Down","No Move","No Move"
2013-05-02,"Down","Down","No Move","Down"
2013-05-01,"Up","Up","No Move","Down"
2013-04-30,"Down","Down","No Move","Down"
2013-04-29,"Down","Down","No Move","Down"
2013-04-26,"No Move","No Move","No Move","Down"
2013-04-25,"Down","Down","No Move","Down"
2013-04-24,"Up","Up","No Move","Down"
2013-04-23,"Down","Down","No Move","No Move"
2013-04-22,"Down","Down","No Move","Down"
2013-04-19,"No Move","No Move","No Move","Down"
2013-04-18,"Up","Up","No Move","Down"
2013-04-17,"Up","Up","No Move","Up"
2013-04-16,"Down","Down","No Move","No Move"
2013-04-15,"Up Large","Up Large","No Move","Up"
2013-04-12,"No Move","No Move","No Move","Down"
2013-04-11,"Down","Down","No Move","Down"
2013-04-10,"Down","Down","No Move","Down"
2013-04-09,"Down","Down","No Move","Down"
2013-04-08,"Down","Down","No Move","Down"
2013-04-05,"Up","Up","No Move","No Move"
2013-04-04,"Down","Down","No Move","Down"
2013-04-03,"Up","Up","No Move","No Move"
2013-04-02,"Down","Down","No Move","Down"
2013-04-01,"No Move","No Move","No Move","Down"
2013-03-28,"Down","Down","No Move","Down"
2013-03-27,"Up","Up","No Move","Down"
2013-03-26,"Down","Down","No Move","Down"
2013-03-25,"Up","Up","No Move","No Move"
2013-03-22,"Down","Down","No Move","Down"
2013-03-21,"Up","Up","No Move","Down"
2013-03-20,"Down","Down","No Move","Down"
2013-03-19,"No Move","No Move","No Move","Down"
2013-03-18,"Up","Up","No Move","Down"
2013-03-15,"Up","Up","No Move","Down"
2013-03-14,"Down","Down","No Move","Down"
2013-03-13,"No Move","No Move","No Move","Down"
2013-03-12,"No Move","No Move","No Move","Down"
2013-03-11,"Down","Down","No Move","Down"
2013-03-08,"Down","Down","No Move","Down"
2013-03-07,"Down","Down","No Move","Down"
2013-03-06,"Down","Down","No Move","Down"
2013-03-05,"Down","Down","No Move","No Move"
2013-03-04,"Down","Down","No Move","Down"
2013-03-01,"Down","Down","No Move","No Move"
2013-02-28,"Up","Up","No Move","Down"
2013-02-27,"Down","Down","No Move","Up"
2013-02-26,"Down","Down","No Move","Down"
2013-02-25,"Up Large","Up Large","No Move","Up"
2013-02-22,"Down","Down","No Move","Down"
2013-02-21,"Up","Up","No Move","Down"
2013-02-20,"Up","Up","No Move","Down"
2013-02-19,"Down","Down","No Move","Down"
2013-02-15,"No Move","No Move","No Move","Down"
2013-02-14,"No Move","No Move","No Move","Down"
2013-02-13,"Up","Up","No Move","Down"
2013-02-12,"Down","Down","No Move","Down"
2013-02-11,"Up","Up","No Move","Down"
2013-02-08,"Down","Down","No Move","Down"
2013-02-07,"Up","Up","No Move","Down"
2013-02-06,"No Move","No Move","No Move","Down"
2013-02-05,"Down","Down","No Move","Down"
2013-02-04,"Up","Up","No Move","Down"
2013-02-01,"Down","Down","No Move","No Move"
2013-01-31,"Up","Up","No Move","Down"
2013-01-30,"Up","Up","No Move","Down"
2013-01-29,"Down","Down","No Move","Down"
2013-01-28,"No Move","No Move","No Move","Down"
2013-01-25,"Down","Down","No Move","Down"
2013-01-24,"Down","Down","No Move","Down"
2013-01-23,"Down","Down","No Move","Down"
2013-01-22,"Down","Down","No Move","Down"
2013-01-18,"Down","Down","No Move","Down"
2013-01-17,"Down","Down","No Move","Down"
2013-01-16,"Up","Up","No Move","Down"
2013-01-15,"Down","Down","No Move","Down"
2013-01-14,"Down","Down","No Move","Down"
2013-01-11,"Down","Down","No Move","Down"
2013-01-10,"Down","Down","Down","Down"
2013-01-09,"Down","Down","Down","Down"
2013-01-08,"Up","Up","Up","Down"
2013-01-07,"Up","Up","Down","Down"
2013-01-04,"Down","Down","No Move","Down"
2013-01-03,"Up","Up","No Move","Down"
2013-01-02,"Down Large","Down Large","No Move","Up"
2012-12-31,"Down","Down","No Move","Up"
2012-12-28,"Up","Up","Up","No Move"
2012-12-27,"Up","Up","No Move","No Move"
2012-12-26,"Up","Up","No Move","Down"
2012-12-24,"Up","Up","No Move","Down"
2012-12-21,"Up","Up","Up","Up"
2012-12-20,"Down","Down","Up","Down"
2012-12-19,"Up","Up","No Move","Down"
2012-12-18,"Down","Down","Down","Down"
2012-12-17,"Down","Down","No Move","Down"
2012-12-14,"Up","Up","No Move","Down"
2012-12-13,"Up","Up","Up","Down"
2012-12-12,"No Move","No Move","Down","Down"
2012-12-11,"Down","Down","No Move","Down"
2012-12-10,"Down","Down","No Move","Down"
2012-12-07,"Down","Down","Up","Down"
2012-12-06,"Down","Down","Up","Down"
2012-12-05,"Down","Down","Up","No Move"
2012-12-04,"Up","No Move","Down","Down"
2012-12-03,"Up","Up","Down","Down"
2012-11-30,"No Move","No Move","No Move","Down"
2012-11-29,"Down","Down","Up","Down"
2012-11-28,"Down","Down","Up","Up"
2012-11-27,"Up","Up","Up","Down"
2012-11-26,"Up","Up","Up","Down"
2012-11-23,"Down","Down","Up","No Move"
2012-11-21,"Down","Down","No Move","Down"
2012-11-20,"No Move","No Move","Up","Down"
2012-11-19,"Down","Down","Down","Up"
2012-11-16,"Down","Down","No Move","Down"
2012-11-15,"Up","Up","No Move","Down"
2012-11-14,"Up","Up","Up","Up"
2012-11-13,"Up","Up","Up","Down"
2012-11-12,"No Move","No Move","No Move","Down"
2012-11-09,"No Move","No Move","No Move","Down"
2012-11-08,"Up","Up","No Move","No Move"
2012-11-07,"Up Large","Up Large","Up Large","Up Large"
2012-11-06,"Down","Down","No Move","No Move"
2012-11-05,"Down","Down","Up","Down"
2012-11-02,"Up","Up","No Move","Up"
2012-11-01,"Down","Down","Down","No Move"
2012-10-31,"No Move","No Move","No Move","Down"
2012-10-26,"No Move","No Move","No Move","Down"
2012-10-25,"Down","Down","Down","Up"
2012-10-24,"Up","Up","Down","Down"
2012-10-23,"Up Large","Up Large","Up","Up"
2012-10-22,"No Move","No Move","Down","Down"
2012-10-19,"Up","Up","Up","Up"
2012-10-18,"No Move","No Move","Up","Down"
2012-10-17,"Down","No Move","Up Large","Down"
2012-10-16,"Down","Down","No Move","Down"
2012-10-15,"Down","Down","No Move","Down"
2012-10-12,"No Move","No Move","Up","Down"
2012-10-11,"Up","Up","Down","Down"
2012-10-10,"Up","Up","No Move","Down"
2012-10-09,"Up","Up","Up","Down"
2012-10-08,"No Move","Up","Up Large","Down"
2012-10-05,"Down","Down","Up","Down"
2012-10-04,"Down","Down","No Move","Down"
2012-10-03,"Down","No Move","Up","Down"
2012-10-02,"Up","Up","No Move","Down"
2012-10-01,"Down","Down","No Move","No Move"
2012-09-28,"Up","Up","No Move","Down"
2012-09-27,"Down","Down","No Move","Down"
2012-09-26,"Up","Up","Down","Down"
2012-09-25,"Up","Up","Down","No Move"
2012-09-24,"Up","Up","Up","Down"
2012-09-21,"Up","Up","No Move","Down"
2012-09-20,"Down","Down","Up","Down"
2012-09-19,"No Move","No Move","Down","Down"
2012-09-18,"No Move","No Move","Up","Down"
2012-09-17,"Up","Up","Up","Down"
2012-09-14,"Down","Down","No Move","Down"
2012-09-13,"Down","Down","Up","Up"
2012-09-12,"No Move","No Move","Up","Down"
2012-09-11,"Down","Down","No Move","Down"
2012-09-10,"Up","Up","Down","Down"
2012-09-07,"Down","Down","Up","Down"
2012-09-06,"Down Large","Down Large","Up","Up"
2012-09-05,"No Move","No Move","No Move","Down"
2012-09-04,"Up","Up","Down","Down"
2012-08-31,"Down","Down","Down","Down"
2012-08-30,"Up","Up","Up","Down"
2012-08-29,"No Move","No Move","No Move","Down"
2012-08-28,"Up","Up","Up","Down"
2012-08-27,"Up","Up","No Move","Down"
2012-08-24,"Down","Down","Up","Down"
2012-08-23,"Up","Up","Up","Down"
2012-08-22,"Up","Up","Up","Down"
2012-08-21,"Up","Up","No Move","Down"
2012-08-20,"No Move","No Move","No Move","Down"
2012-08-17,"Down","Down","Down","Down"
2012-08-16,"Down","Down","Up","Down"
2012-08-15,"No Move","No Move","Up Large","Down"
2012-08-14,"No Move","No Move","Up","Down"
2012-08-13,"Up","Up","Up","Down"
2012-08-10,"Down","Down","Up","Down"
2012-08-09,"No Move","No Move","Up","Down"
2012-08-08,"Down","No Move","Up","Down"
2012-08-07,"Down","Down","Down","Down"
2012-08-06,"Down","Down","Down","Down"
2012-08-03,"Down","Down Large","Down","Up"
2012-08-02,"Up","Up","Up","Up"
2012-08-01,"Up","Up","Up","Down"
2012-07-31,"Up","Up","Up","Down"
2012-07-30,"No Move","No Move","No Move","Down"
2012-07-27,"Down","Down","Down","Up"
2012-07-26,"Down","Down","Down","Up"
2012-07-25,"Down","Down","No Move","Down"
2012-07-24,"Up","Up","No Move","Up"
2012-07-23,"Up","Up","Up","Up"
2012-07-20,"Up","Up","No Move","Down"
2012-07-19,"Down","Down","Down","Down"
2012-07-18,"Down","Down","Up","No Move"
2012-07-17,"Down","Down","Down","Up"
2012-07-16,"Up","Up","Up","Down"
2012-07-13,"Down","Down","No Move","Up"
2012-07-12,"Up","Up","Up","Down"
2012-07-11,"Up","Up","No Move","Down"
2012-07-10,"Up","Up","Up","Up"
2012-07-09,"Up","Up","No Move","Down"
2012-07-06,"Up","Up","Up","Up"
2012-07-05,"Up","Up","Up","Down"
2012-07-03,"Down","Down","Up","Down"
2012-07-02,"No Move","No Move","No Move","Down"
2012-06-29,"Down Large","Down Large","Down","Up"
2012-06-28,"Up","Up","Up","No Move"
2012-06-27,"Down","Down","Up","Down"
2012-06-26,"Down","Down","Down","Down"
2012-06-25,"Up","Up","Up","Up"
2012-06-22,"Down","Down","Down","Down"
2012-06-21,"Up Large","Up Large","Up","Up"
2012-06-20,"No Move","No Move","No Move","Down"
2012-06-19,"Down","Down","Down","Down"
2012-06-18,"Up","Up","No Move","Down"
2012-06-15,"Down","Down","No Move","Down"
2012-06-14,"Down","Down","Down","Up"
2012-06-13,"Up","Up","Up","Down"
2012-06-12,"Down","Down","Down","No Move"
2012-06-11,"Up","Up","No Move","Up"
2012-06-08,"Down","Down","No Move","Down"
2012-06-07,"Down","Down","Down","Down"
2012-06-06,"Down Large","Down Large","Up","Up"
2012-06-05,"Down","Down","No Move","Down"
2012-06-04,"Up","Up","Down","Down"
2012-06-01,"Up Large","Up Large","Up","Up"
2012-05-31,"Up","Up","Up","No Move"
2012-05-30,"Up","Up","Up","Up"
2012-05-29,"Down","Down","No Move","Down"
2012-05-25,"Up","Up","Down","Down"
2012-05-24,"Down","Down","Up","Down"
2012-05-23,"No Move","No Move","Up","Up"
2012-05-22,"No Move","No Move","Down","Down"
2012-05-21,"Down","Down","No Move","Down"
2012-05-18,"Up","Up","No Move","Down"
2012-05-17,"Up","Up","No Move","No Move"
2012-05-16,"Up","Up","Up Large","Down"
2012-05-15,"Up","Up","No Move","Down"
2012-05-14,"Up","Up","Up","No Move"
2012-05-11,"Up","Up","Up","Down"
2012-05-10,"Down","Down","Up","Down"
2012-05-09,"Up","Up","Up","No Move"
2012-05-08,"Up","Up","Up","Up"
2012-05-07,"Up","Up","Up","Down"
2012-05-04,"Up","Up","Up","Up"
2012-05-03,"Up","Up","Up","Down"
2012-05-02,"No Move","No Move","Up","Down"
2012-05-01,"Down","Down","No Move","No Move"
2012-04-30,"Up","Up","No Move","Down"
2012-04-27,"Down","Down","No Move","Down"
2012-04-26,"Down","Down","No Move","Down"
2012-04-25,"Down","Down","Up","Down"
2012-04-24,"Down","Down","No Move","Down"
2012-04-23,"Up","Up","Up","Up"
2012-04-20,"Down","Down","No Move","Down"
2012-04-19,"Up","Up","Up","Up"
2012-04-18,"Up","Up","Up","Down"
2012-04-17,"Down","Down","No Move","Up"
2012-04-16,"Down","Down","Down","Down"
2012-04-13,"Up","Up","No Move","Down"
2012-04-12,"Down","Down","Down","Up"
2012-04-11,"Down","Down","Down","Down"
2012-04-10,"Up Large","Up","No Move","Up"
2012-04-09,"Up","Up","Up","Down"
2012-04-05,"No Move","Up","Up","Down"
2012-04-04,"Up","Up","Up","No Move"
2012-04-03,"Up","Up","Up","Down"
2012-04-02,"Down","Down","No Move","Down"
2012-03-30,"Down","Down","Down","Down"
2012-03-29,"Down","Down","No Move","Down"
2012-03-28,"Up","Up","Up","Down"
2012-03-27,"Up","Up","No Move","Down"
2012-03-26,"Down","Down","Down","No Move"
2012-03-23,"Down","Down","No Move","Down"
2012-03-22,"Up","Up","No Move","Down"
2012-03-21,"Up","Up","No Move","Down"
2012-03-20,"Up","Up","No Move","Down"
2012-03-19,"No Move","No Move","No Move","Down"
2012-03-16,"Up","Up","Down","Down"
2012-03-15,"Down","Down","Up","Down"
2012-03-14,"Down","Down","No Move","Down"
2012-03-13,"Down Large","Down Large","Up","Up"
2012-03-12,"Down","Down","Up","Down"
2012-03-09,"No Move","No Move","No Move","Down"
2012-03-08,"Down","Down","Up","Down"
2012-03-07,"Down","Down","Up","Down"
2012-03-06,"Up","Up","Up","Up"
2012-03-05,"Up","Up","No Move","Down"
2012-03-02,"No Move","No Move","No Move","Down"
2012-03-01,"Down","Down","No Move","Down"
2012-02-29,"Up","Up","No Move","Down"
2012-02-28,"Down","Down","Up","Down"
2012-02-27,"No Move","No Move","Up","Down"
2012-02-24,"No Move","No Move","Up","Down"
2012-02-23,"Down","Down","Up","Down"
2012-02-22,"Up","Up","No Move","Down"
2012-02-21,"Down","Down","No Move","Down"
2012-02-17,"Down","Down","Up","Down"
2012-02-16,"Down","Down","Up","Down"
2012-02-15,"Up","Up","Up Large","Down"
2012-02-14,"No Move","No Move","Up","Down"
2012-02-13,"Down","Down","Up","Down"
2012-02-10,"Up","Up","Up","Down"
2012-02-09,"No Move","No Move","No Move","Down"
2012-02-08,"Down","No Move","Up Large","Down"
2012-02-07,"Down","Down","Up","Down"
2012-02-06,"Up","Up","Up","Down"
2012-02-03,"Down","Down","No Move","No Move"
2012-02-02,"No Move","No Move","No Move","Down"
2012-02-01,"Down","Down","No Move","Down"
2012-01-31,"Up","Up","Down","Down"
2012-01-30,"No Move","No Move","Up","Down"
2012-01-27,"Up","Up","No Move","Down"
2012-01-26,"Up","Up","Up","Down"
2012-01-25,"Down","Down","Up","Up"
2012-01-24,"Up","Up","No Move","Down"
2012-01-23,"No Move","No Move","No Move","Down"
2012-01-20,"Down","Down","No Move","Down"
2012-01-19,"Down","Down","Up","Down"
2012-01-18,"Down","Down","Up","Down"
2012-01-17,"Down","Down","Down","Down"
2012-01-13,"Up","Up","Up","No Move"
2012-01-12,"Down","Down","No Move","Down"
2012-01-11,"No Move","No Move","Up","Down"
2012-01-10,"Down","Down","Down","Down"
2012-01-09,"Down","Down","No Move","Down"
2012-01-06,"Up","Up","Up","Down"
2012-01-05,"No Move","No Move","No Move","Down"
2012-01-04,"Down","Down","Up","Down"
2012-01-03,"Down","Down","Down","Up"
2011-12-30,"Up","Up","Up","Down"
2011-12-29,"Down","Down","Down","Down"
2011-12-28,"Up","Up","Up","No Move"
2011-12-27,"No Move","No Move","No Move","Down"
2011-12-23,"Down","Down","No Move","Down"
2011-12-22,"Down","Down","No Move","Down"
2011-12-21,"No Move","No Move","No Move","Down"
2011-12-20,"Down Large","Down Large","Down","Up Large"
2011-12-19,"Up","Up","No Move","Up"
2011-12-16,"No Move","No Move","Down","Down"
2011-12-15,"Down","Down","Down","Down"
2011-12-14,"Up","Up","Up","No Move"
2011-12-13,"Up","Up","Up","Up"
2011-12-12,"Up","Up","Up","Up"
2011-12-09,"Down","Down","Up","Up"
2011-12-08,"Up","Up","No Move","Up"
2011-12-07,"Down","Down","Up","Up"
2011-12-06,"Down","Down","No Move","Down"
2011-12-05,"Down","Down","Down","No Move"
2011-12-02,"No Move","No Move","Down","Down"
2011-12-01,"Up","Up","No Move","Down"
2011-11-30,"Down Extreme","Down Extreme","Down","Up Large"
2011-11-29,"Down","Down","No Move","Down"
2011-11-28,"Down Large","Down Large","Down","Up"
2011-11-25,"Up","Up","Up","Down"
2011-11-23,"Up Large","Up Large","Up","Up"
2011-11-22,"Up","Up","Up","Down"
2011-11-21,"Up Large","Up Large","No Move","Up Large"
2011-11-18,"Down","Down","Up","Down"
2011-11-17,"Up","Up","No Move","Up"
2011-11-16,"Up","Up","Up Large","Up"
2011-11-15,"Down","Down","Up","No Move"
2011-11-14,"Up","Up","No Move","Down"
2011-11-11,"Down Large","Down Large","Down","Up"
2011-11-10,"Down","Down","Up","Up"
2011-11-09,"Up Large","Up Large","Up","Up Large"
2011-11-08,"Down","Down","Up Large","Up"
2011-11-07,"Down","Down","No Move","Up"
2011-11-04,"Up","Up","Up","Up"
2011-11-03,"Down","Down","No Move","Up"
2011-11-02,"Down","Down","No Move","Up"
2011-11-01,"Up Large","Up Large","Up","Up"
2011-10-31,"Up Large","Up Large","Up","Up"
2011-10-28,"Down","Down","Up","Down"
2011-10-27,"Down Large","Down Large","Down","Up Large"
2011-10-26,"Down","Down","Down","Up"
2011-10-25,"Up","Up","Up","Up"
2011-10-24,"Down","Down","Up","Down"
2011-10-21,"Down Large","Down Large","Down","Up"
2011-10-20,"Down","Down","Up","Up"
2011-10-19,"Up","Up","No Move","No Move"
2011-10-18,"Down","Down","Up","Up Large"
2011-10-17,"Up Large","Up Large","Up","Up"
2011-10-14,"Down","Down","Down","No Move"
2011-10-13,"Up","Up","Up","Down"
2011-10-12,"Down","Down","Down","Up"
2011-10-11,"Up","Up","No Move","Down"
2011-10-10,"Down Large","Down Large","Down","Up"
2011-10-07,"Up","Up","No Move","Up"
2011-10-06,"Down","Down","No Move","Up"
2011-10-05,"Down","Down","Up","Up"
2011-10-04,"Down","Down","Up","Up Large"
2011-10-03,"Up Large","Up Large","Up","Up"
2011-09-30,"Up Large","Up Large","Up","Up"
2011-09-29,"Down","Down","Down","Up"
2011-09-28,"Up","Up","Up","Up"
2011-09-27,"Down","Down","Down","Up"
2011-09-26,"Down Large","Down Large","No Move","Up"
2011-09-23,"Down","Down","Up","No Move"
2011-09-22,"Up Large","Up Large","Up","Up Extreme"
2011-09-21,"Up Large","Up Large","No Move","Up"
2011-09-20,"No Move","No Move","No Move","No Move"
2011-09-19,"Up","Up","Up","Up"
2011-09-16,"Down","Down","No Move","Down"
2011-09-15,"Down","Down","Down","Up"
2011-09-14,"Down","Down","Down","Up Large"
2011-09-13,"Down","Down","Up","Down"
2011-09-12,"Down","Down","Up","Up"
2011-09-09,"Up Large","Up Large","Up","Up Large"
2011-09-08,"Up","Up","No Move","Up"
2011-09-07,"Down Large","Down Large","Up","Up"
2011-09-06,"Up","Up","Up","Up"
2011-09-02,"Up Large","Up Large","Up","Up"
2011-09-01,"Up","Up","No Move","Up"
2011-08-31,"Down","Down","No Move","Up"
2011-08-30,"Down","Down","Up","Up"
2011-08-29,"Down Large","Down Large","Down","Up"
2011-08-26,"Down","Down","No Move","Up Large"
2011-08-25,"Up","Up","No Move","Up"
2011-08-24,"Down","Down","Up","Up"
2011-08-23,"Down Large","Down Large","No Move","Up"
2011-08-22,"Down","Down","Down","Up"
2011-08-19,"Up","Up","Up","Up"
2011-08-18,"Up Large","Up Large","Up","Up Extreme"
2011-08-17,"Down","No Move","Up Large","Up"
2011-08-16,"Up","Up","Up","Up"
2011-08-15,"Down Large","Down","Down","Up"
2011-08-12,"Down","Down","No Move","Up"
2011-08-11,"Down Large","Down Large","Down","Up Extreme"
2011-08-10,"Up Extreme","Up Extreme","Up Large","Up Extreme"
2011-08-09,"Down Extreme","Down Large","Down","Up Extreme"
2011-08-08,"Up Extreme","Up Extreme","Up","Up Extreme"
