"Date","DailyMoveCat","CloseDiffCat","ONDiffCat","SpreadCat"
2015-12-23,"Down","Down","Down","Up"
2015-12-22,"Down","Down","Down","Up"
2015-12-21,"Down","Down","Down Extreme","Down"
2015-12-18,"Up Large","Up Large","Up","Up Large"
2015-12-17,"Up Large","Up Large","Down","Up"
2015-12-16,"Down Large","Down Large","Down","Up"
2015-12-15,"Down","Down","Down","Up"
2015-12-14,"Down","Down","Down Large","Up"
2015-12-11,"Up Large","Up Large","No Move","Up Large"
2015-12-10,"Down","Down","Down","Up"
2015-12-09,"Up","Up","Up","Up Large"
2015-12-08,"Up","Up","Up Extreme","Up"
2015-12-07,"Up","Up","Up","Up"
2015-12-04,"Down Large","Down Large","Down","Up Large"
2015-12-03,"Up Large","Up Large","Down Large","Up Large"
2015-12-02,"Up","Up","Up","Up"
2015-12-01,"Down","Down","No Move","No Move"
2015-11-30,"Up","Up","Up","Down"
2015-11-27,"No Move","No Move","Up","Down"
2015-11-25,"No Move","No Move","Down","Down"
2015-11-24,"Down","Down","Up Large","No Move"
2015-11-23,"Up","Up","No Move","Down"
2015-11-20,"Down","Down","No Move","Up"
2015-11-19,"No Move","No Move","Down","Down"
2015-11-18,"Down Large","Down Large","Up","Up"
2015-11-17,"No Move","No Move","Down","Down"
2015-11-16,"Down Large","Down Large","Up Large","Up"
2015-11-13,"Up","Up","Up","Up"
2015-11-12,"Up Large","Up Large","Up","Up"
2015-11-11,"Up","Up","Down Large","Down"
2015-11-10,"Down","Down","Up","Down"
2015-11-09,"Up","Up","Up","Up"
2015-11-06,"Down","Down","Up","Down"
2015-11-05,"No Move","No Move","Down","Down"
2015-11-04,"Up","Up","Down Large","Down"
2015-11-03,"Down","Down","Up","Up"
2015-11-02,"Down","Down","Down","Up"
2015-10-30,"Up","Up","Down","Down"
2015-10-29,"Up","Up","Up","Down"
2015-10-28,"Down","Down","Down","Up"
2015-10-27,"Up","Up","Up Large","Down"
2015-10-26,"Up","Up","Down","Down"
2015-10-23,"Down","Down","Down Extreme","Down"
2015-10-22,"Down Large","Down Large","Down Large","Up"
2015-10-21,"Up","Up","Down","No Move"
2015-10-20,"No Move","No Move","Up","Down"
2015-10-19,"Down","Down","Up","Down"
2015-10-16,"Down","Down","No Move","Down"
2015-10-15,"Down","Down Large","Down Large","Up"
2015-10-14,"Up","Up","Up","Up"
2015-10-13,"Up","Up","Up Large","Down"
2015-10-12,"Down","Down","Up","Down"
2015-10-09,"Down","Down","Down","Down"
2015-10-08,"Down","Down","Up","Up"
2015-10-07,"Down","Down","Down Large","Up"
2015-10-06,"Down","No Move","Up","Down"
2015-10-05,"Down Large","Down Large","Down Extreme","Up"
2015-10-02,"Down Large","Down","Up Large","Up Large"
2015-10-01,"No Move","No Move","Up","Up"
2015-09-30,"Down Large","Down Large","Down","Up"
2015-09-29,"Down","Down","No Move","No Move"
2015-09-28,"Up Large","Up Large","Up","Up"
2015-09-25,"Down","Down","Down","Up"
2015-09-24,"Up","Up","Up Extreme","Up"
2015-09-23,"Up","Up","Down","Down"
2015-09-22,"Up","Up","Up Extreme","Up"
2015-09-21,"Down","Down","Down Large","Up"
2015-09-18,"Up Large","Up Large","No Move","Up"
2015-09-17,"Up","Up","Up","Up"
2015-09-16,"Down","Down","No Move","No Move"
2015-09-15,"Down Large","Down Large","Down Large","Up"
2015-09-14,"Up","Up","Down Large","Down"
2015-09-11,"Down","Down","No Move","Up"
2015-09-10,"Down","Down","Up","Up"
2015-09-09,"Up Large","Up Large","Down Large","Up Large"
2015-09-08,"Down Large","Down Large","Down","Up Large"
2015-09-04,"Up Large","Up Large","Up","Up Large"
2015-09-03,"No Move","Down","Down Large","Up"
2015-09-02,"Down Large","Down Large","No Move","Up"
2015-09-01,"Up Extreme","Up Extreme","No Move","Up Extreme"
2015-08-31,"Up","Up","Up","Up"
2015-08-28,"No Move","No Move","Up","Down"
2015-08-27,"Down Large","Down Large","No Move","Up Large"
2015-08-26,"Down Extreme","Down Extreme","Down","Up Extreme"
2015-08-25,"Up Large","Up","Down","Up Extreme"
2015-08-24,"Up Extreme","Up Extreme","No Move","Up Extreme"
2015-08-21,"Up Extreme","Up Extreme","No Move","Up Extreme"
2015-08-20,"Up Large","Up Large","Up","Up Large"
2015-08-19,"Up","Up","Up","Up"
2015-08-18,"Up","Up","Up","Down"
2015-08-17,"Down","Down","Up","Up"
2015-08-14,"Down","Down","Down","Down"
2015-08-13,"No Move","No Move","Up","Down"
2015-08-12,"Down","No Move","Up Large","Up"
2015-08-11,"Up","Up","Up Large","Up"
2015-08-10,"Down Large","Down Large","Down","Up"
2015-08-07,"Up","Up","Up","Down"
2015-08-06,"Up","Up","Down","Up"
2015-08-05,"Up","No Move","Down","No Move"
2015-08-04,"Up","Up","Up","Down"
2015-08-03,"Up","Up","Down","Up"
2015-07-31,"Up","Up","Down","Down"
2015-07-30,"No Move","No Move","Up","Down"
2015-07-29,"Down","Down","Down","Down"
2015-07-28,"Down","Down","Down","Up"
2015-07-27,"Up","Up","Up","No Move"
2015-07-24,"Up","Up","Up","Up"
2015-07-23,"Up","Up","Down","Down"
2015-07-22,"Up","Up","Up","Down"
2015-07-21,"Up","Up","Up","Up"
2015-07-20,"Down","No Move","No Move","Down"
2015-07-17,"Up","Up","Up","Down"
2015-07-16,"Down","Down","Down Extreme","Down"
2015-07-15,"No Move","No Move","No Move","Down"
2015-07-14,"Down","Down","Up","Down"
2015-07-13,"Down","Down Large","Down Extreme","Up"
2015-07-10,"Down","Down","Down Large","Up"
2015-07-09,"Down","Down","Down Large","Up"
2015-07-08,"Up Large","Up Large","Up Large","Up"
2015-07-07,"Down","Down","Down","Up"
2015-07-06,"Up","Up","Up","No Move"
2015-07-02,"Up","Up","Down","Down"
2015-07-01,"Down","Down","Down Large","No Move"
2015-06-30,"Down","Down","Down","Down"
2015-06-29,"Up Large","Up Large","Up","Up Large"
2015-06-26,"Down","Down","Down","Down"
2015-06-25,"Up","Up","Down","Down"
2015-06-24,"Up","Up","Up","No Move"
2015-06-23,"Down","Down","Down","Down"
2015-06-22,"Down","Down","Down Large","Down"
2015-06-19,"Up","Up","No Move","Down"
2015-06-18,"Down","Down","Down","Up"
2015-06-17,"Down","Down","Down","No Move"
2015-06-16,"Down","Down","Up","Down"
2015-06-15,"Up","Up","Up","Up"
2015-06-12,"Up","Up","Up","No Move"
2015-06-11,"Down","Down","Down","Down"
2015-06-10,"Down Large","Down Large","Down","Up"
2015-06-09,"No Move","No Move","No Move","Down"
2015-06-08,"Up","Up","No Move","Down"
2015-06-05,"Up","Up","No Move","Down"
2015-06-04,"Up","Up","Up","Up"
2015-06-03,"Down","Down","Down","No Move"
2015-06-02,"Up","Up","Up","No Move"
2015-06-01,"Down","Down","Down","Down"
2015-05-29,"Up","Up","Down","No Move"
2015-05-28,"Up","Up","Up","Down"
2015-05-27,"Down","Down","Down","Down"
2015-05-26,"Up","Up","Up","Up"
2015-05-22,"Up","Up","Down","Down"
2015-05-21,"No Move","No Move","No Move","Down"
2015-05-20,"Up","Up","Down","Down"
2015-05-19,"No Move","No Move","Down","Down"
2015-05-18,"Down","Down","Up","Down"
2015-05-15,"Down","Down","No Move","Down"
2015-05-14,"Down","Down","Down","Up"
2015-05-13,"No Move","No Move","Down","Down"
2015-05-12,"Up","Up","Up","Up"
2015-05-11,"Up","Up","Up","Down"
2015-05-08,"Down Large","Down Large","Down","Up"
2015-05-07,"Down","Down","Up","No Move"
2015-05-06,"Up","Up","Down","Up"
2015-05-05,"Up","Up","Up","Up"
2015-05-04,"Down","Down","Down","Down"
2015-05-01,"Down","Down","Down Large","No Move"
2015-04-30,"Up","Up","Up","Up"
2015-04-29,"Up","Up","Up Large","Down"
2015-04-28,"Down","Down","Up","Up"
2015-04-27,"Up","Up","Down Large","Down"
2015-04-24,"Down","Down","Up","Down"
2015-04-23,"Down","Down","Up","No Move"
2015-04-22,"Down","Down","Down","No Move"
2015-04-21,"Up","Up","No Move","Up"
2015-04-20,"Down","Down","Down Large","Up"
2015-04-17,"Up Large","Up Large","Up","Up Large"
2015-04-16,"No Move","No Move","Up","Down"
2015-04-15,"Down","Down","Down","Down"
2015-04-14,"Down","Down","Down","No Move"
2015-04-13,"Up","Up","Up","Down"
2015-04-10,"Down","Down","Up","Down"
2015-04-09,"Down","Down","No Move","No Move"
2015-04-08,"Down","Down","Down","Down"
2015-04-07,"No Move","No Move","Down","Down"
2015-04-06,"Down","Down","Up","Up"
2015-04-02,"Down","Down","Down","Down"
2015-04-01,"Up","Up","Down","Up"
2015-03-31,"Up","Up","Up","Up"
2015-03-30,"Down Large","Down Large","Down Large","Up"
2015-03-27,"Down","Down","Up","Down"
2015-03-26,"Up","Up","Up","Up"
2015-03-25,"Up Large","Up Large","Down","Up"
2015-03-24,"Up","Up","Up","Down"
2015-03-23,"Up","No Move","Down","Down"
2015-03-20,"Down","Down","Down","Up"
2015-03-19,"Up","Up","Up","Down"
2015-03-18,"Down Large","Down Large","Up","Up Large"
2015-03-17,"Up","Up","Up","Up"
2015-03-16,"Down Large","Down Large","Down","Up"
